,N,1_2,1_3,1_4,2_1,2_3,2_4,3_1,3_2,3_4,4_1,4_2,4_3
1,39,13,0,0,6,3,0,6,0,4,0,4,3
2,48,12,0,0,8,8,0,5,0,7,0,6,2
3,36,15,0,0,12,4,0,5,0,0,0,0,0
4,34,18,0,0,11,2,0,1,0,1,0,1,0
5,37,17,0,0,8,4,0,4,0,2,0,1,1
6,43,15,0,0,12,6,0,3,0,3,0,4,0
7,39,17,0,0,7,5,0,4,0,2,0,4,0
8,41,15,0,0,7,8,0,5,0,3,0,3,0
9,42,12,0,0,7,5,0,7,0,4,0,4,3
10,43,16,0,0,13,3,0,3,0,1,0,6,1
11,36,8,0,0,6,7,0,5,0,4,0,5,1
12,31,17,0,0,5,3,0,4,0,1,0,0,1
13,47,21,0,0,9,7,0,6,0,2,0,2,0
14,42,17,0,0,10,5,0,5,0,0,0,5,0
15,48,22,0,0,11,5,0,4,0,3,0,3,0
16,41,12,0,0,9,5,0,4,0,5,0,6,0
17,42,15,0,0,10,5,0,6,0,3,0,3,0
18,35,12,0,0,8,6,0,5,0,1,0,3,0
19,42,13,0,0,7,3,0,6,0,4,0,6,3
20,39,19,0,0,8,6,0,6,0,0,0,0,0
21,52,19,0,0,11,8,0,5,0,4,0,4,1
22,26,8,0,0,8,4,0,2,0,2,0,2,0
23,38,19,0,0,7,6,0,6,0,0,0,0,0
24,46,20,0,0,9,7,0,4,0,3,0,3,0
25,40,12,0,0,8,3,0,3,0,7,0,5,2
26,40,15,0,0,9,6,0,4,0,3,0,3,0
27,50,13,0,0,8,6,0,7,0,6,0,9,1
28,34,11,0,0,7,3,0,1,0,5,0,6,1
29,57,18,0,0,9,10,0,9,0,3,0,7,1
30,45,13,0,0,8,5,0,7,0,4,0,5,3
31,48,16,0,0,10,5,0,8,0,2,0,5,2
32,29,13,0,0,10,2,0,2,0,1,0,1,0
33,32,11,0,0,7,6,0,6,0,1,0,1,0
34,41,20,0,0,14,2,0,1,0,2,0,1,1
35,49,21,0,0,14,4,0,6,0,2,0,1,1
36,53,15,0,0,10,8,0,6,0,7,0,5,2
37,34,15,0,0,8,4,0,5,0,1,0,1,0
38,23,10,0,0,6,3,0,2,0,1,0,1,0
39,42,15,0,0,6,7,0,6,0,4,0,3,1
40,39,12,0,0,9,6,0,6,0,3,0,3,0
41,43,18,0,0,11,5,0,3,0,3,0,2,1
42,40,14,0,0,5,8,0,8,0,2,0,2,1
43,31,10,0,0,7,4,0,2,0,4,0,4,0
44,46,16,0,0,15,6,0,3,0,3,0,3,0
45,39,19,0,0,10,5,0,5,0,0,0,0,0
46,28,9,0,0,6,6,0,5,0,1,0,1,0
47,48,21,0,0,10,5,0,6,0,3,0,3,0
48,43,9,0,0,8,9,0,4,0,6,0,6,1
49,29,10,0,0,11,3,0,1,0,2,0,2,0
50,28,11,0,0,8,4,0,3,0,1,0,1,0
51,40,16,0,0,9,5,0,2,0,4,0,4,0
52,37,16,0,0,9,5,0,3,0,2,0,2,0
53,41,18,0,0,12,3,0,1,0,2,0,5,0
54,40,12,0,0,11,7,0,4,0,3,0,3,0
55,35,6,0,0,8,6,0,1,0,6,0,8,0
56,58,16,0,0,10,7,0,8,0,7,0,6,4
57,37,12,0,0,10,5,0,4,0,3,0,3,0
58,45,21,0,0,9,7,0,6,0,1,0,1,0
59,27,6,0,0,4,3,0,1,0,5,0,5,3
60,55,15,0,0,13,4,0,2,0,8,0,9,4
61,44,17,0,0,10,6,0,6,0,1,0,3,1
62,44,16,0,0,12,7,0,5,0,2,0,2,0
63,40,18,0,0,13,4,0,3,0,1,0,1,0
64,54,16,0,0,12,7,0,7,0,4,0,6,2
65,36,15,0,0,8,4,0,5,0,2,0,1,1
66,28,14,0,0,6,3,0,3,0,1,0,0,1
67,50,15,0,0,10,9,0,6,0,5,0,4,1
68,55,24,0,0,12,8,0,7,0,2,0,1,1
69,39,13,0,0,10,4,0,4,0,4,0,4,0
70,42,20,0,0,13,4,0,3,0,1,0,1,0
71,34,9,0,0,6,4,0,6,0,4,0,3,2
72,43,13,0,0,8,6,0,6,0,5,0,4,1
73,26,15,0,0,7,2,0,2,0,0,0,0,0
74,51,14,0,0,10,7,0,6,0,6,0,7,1
75,37,11,0,0,7,3,0,3,0,2,0,9,2
76,46,15,0,0,13,4,0,3,0,3,0,6,2
77,34,8,0,0,11,5,0,0,0,5,0,5,0
78,43,14,0,0,10,1,0,5,0,6,0,4,3
79,50,13,0,0,10,7,0,5,0,6,0,5,4
80,39,14,0,0,10,5,0,3,0,3,0,3,1
81,44,10,0,0,8,9,0,5,0,6,0,5,1
82,43,14,0,0,7,7,0,5,0,4,0,6,0
83,41,12,0,0,9,6,0,2,0,6,0,4,2
84,43,14,0,0,5,7,0,6,0,5,0,5,1
85,44,11,0,0,10,6,0,3,0,5,0,7,2
86,24,8,0,0,10,1,0,1,0,1,0,2,1
87,38,13,0,0,8,3,0,3,0,5,0,5,1
88,53,20,0,0,12,3,0,6,0,6,0,2,4
89,30,7,0,0,6,5,0,4,0,2,0,5,1
90,33,11,0,0,10,4,0,4,0,1,0,2,1
91,37,8,0,0,4,5,0,7,0,6,0,4,3
92,27,16,0,0,9,1,0,1,0,0,0,0,0
93,43,11,0,0,7,7,0,4,0,5,0,8,1
94,39,17,0,0,8,4,0,5,0,2,0,3,0
95,47,19,0,0,13,6,0,5,0,2,0,2,0
96,43,12,0,0,7,6,0,5,0,6,0,7,0
97,37,12,0,0,12,4,0,3,0,2,0,3,1
98,53,23,0,0,11,8,0,9,0,1,0,1,0
99,30,11,0,0,11,3,0,2,0,1,0,2,0
100,39,13,0,0,10,5,0,3,0,4,0,4,0
