7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
-4.61575331404867,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-11.4257320127086,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-6.8099786986599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090597989722485,0
1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.9580547823705,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-12.6774354913079,4.61575331404867
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34230146832183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71938070893741,-8.06168217725924
